patch,lat_ms,pred_cf,gt_cf,pred_cloudy,gt_cloudy
x_0056,68.1,0.1652,0.2535,0,0
x_0057,68.9,0.7517,0.8783,1,1
x_0058,67.8,0.4385,0.5499,0,0
x_0059,67.5,0.0000,0.0657,0,0
x_0060,80.4,0.0000,0.0000,0,0
x_0061,81.6,0.1738,0.2063,0,0
x_0062,67.5,0.6934,0.6432,0,0
x_0063,68.2,0.8857,0.7982,1,1
x_0064,68.2,0.3265,0.3861,0,0
x_0065,68.0,0.5007,0.4069,0,0
x_0066,67.9,0.3121,0.5487,0,0
x_0067,68.6,0.1662,0.1406,0,0
x_0068,67.8,0.0000,0.0000,0,0
x_0069,68.0,0.8691,0.8683,1,1
x_0070,68.5,0.1601,0.1960,0,0
x_0071,80.9,0.8337,0.8088,1,1
x_0072,81.8,0.0588,0.0763,0,0
x_0073,68.1,0.6177,0.4578,0,0
x_0074,68.0,0.0001,0.0000,0,0
x_0075,68.0,0.1142,0.2106,0,0
x_0076,67.8,0.7924,0.8351,1,1
x_0077,67.9,0.0000,0.0000,0,0
x_0078,67.8,0.6175,0.6635,0,0
x_0079,67.7,0.4811,0.5892,0,0
x_0080,68.3,0.3241,0.3351,0,0
x_0081,68.3,0.5206,0.5603,0,0
x_0082,80.3,0.0047,0.0000,0,0
x_0083,67.8,0.2057,0.1822,0,0
x_0084,68.2,0.6761,0.6600,0,0
x_0085,68.4,0.8642,0.8938,1,1
x_0086,68.2,0.3117,0.3436,0,0
x_0087,68.0,0.4323,0.4914,0,0
x_0088,68.1,0.0000,0.0000,0,0
x_0089,68.3,0.0986,0.1014,0,0
x_0090,67.9,0.4824,0.5052,0,0
x_0091,68.0,0.0000,0.0000,0,0
x_0092,83.7,0.0870,0.0943,0,0
x_0093,68.2,0.8459,0.8914,1,1
x_0094,67.9,0.3079,0.3039,0,0
x_0095,68.4,0.0825,0.5443,0,0
x_0096,68.1,0.0000,0.0000,0,0
x_0097,68.6,0.1006,0.1446,0,0
x_0098,67.7,0.8060,0.8569,1,1
x_0099,67.7,0.3823,0.4237,0,0
x_0100,67.7,0.5657,0.6006,0,0
x_0101,68.3,0.8921,0.8347,1,1
x_0102,81.1,0.0000,0.0000,0,0
x_0103,68.6,0.8776,0.9038,1,1
x_0104,68.2,0.3470,0.1900,0,0
x_0105,68.3,0.0824,0.0875,0,0
x_0106,68.0,0.6307,0.6363,0,0
x_0107,68.2,0.4983,0.5166,0,0
x_0108,68.1,0.0000,0.0000,0,0
x_0109,68.8,0.1919,0.3334,0,0
x_0110,68.2,0.8877,0.8426,1,1
x_0111,67.9,0.0000,0.0000,0,0
x_0112,81.9,0.1069,0.1111,0,0
x_0113,68.0,0.2649,0.2586,0,0
x_0114,68.0,0.5749,0.5293,0,0
x_0115,68.2,0.0000,0.0000,0,0
x_0116,68.1,0.6066,0.6489,0,0
x_0117,67.8,0.5782,0.7363,0,1
x_0118,67.6,0.8173,0.7983,1,1
x_0119,67.7,0.1823,0.1618,0,0
x_0120,68.1,0.0000,0.1062,0,0
x_0121,68.0,0.4229,0.4634,0,0
x_0122,88.1,0.8237,0.9682,1,1
x_0123,68.0,0.3691,0.3646,0,0
x_0124,68.0,0.0000,0.0000,0,0
x_0125,68.5,0.0000,0.0000,0,0
x_0126,69.5,0.8528,0.9178,1,1
x_0127,67.8,0.7841,0.7489,1,1
x_0128,67.7,0.2259,0.2650,0,0
x_0129,68.2,0.0592,0.0671,0,0
x_0130,67.7,0.0002,0.0000,0,0
x_0131,67.6,0.0326,0.0415,0,0
x_0132,80.1,0.0973,0.1325,0,0
x_0133,85.1,0.6551,0.6586,0,0
x_0134,67.8,0.9658,0.9318,1,1
x_0135,67.8,0.1677,0.1908,0,0
x_0136,68.1,0.6477,0.6561,0,0
x_0137,68.3,0.5296,0.6485,0,0
x_0138,67.8,0.1574,0.0000,0,0
x_0139,68.3,0.3195,0.3224,0,0
x_0140,68.2,0.0000,0.0000,0,0
x_0141,67.8,0.2735,0.2923,0,0
x_0142,68.5,0.4914,0.5447,0,0
x_0143,82.5,0.7068,0.7532,1,1
x_0144,68.6,0.0349,0.0399,0,0
x_0145,68.7,0.9850,0.8911,1,1
x_0146,67.7,0.5663,0.5187,0,0
x_0147,68.4,0.5475,0.6151,0,0
x_0148,68.4,0.0000,0.0000,0,0
x_0149,68.1,0.0042,0.0045,0,0
x_0150,68.4,0.4322,0.4605,0,0
x_0151,68.1,0.4287,0.4459,0,0
x_0152,67.9,0.0000,0.0000,0,0
x_0153,84.9,0.0054,0.0124,0,0
x_0154,68.8,0.9368,0.8078,1,1
x_0155,68.0,0.1408,0.0199,0,0
x_0156,68.0,0.7971,0.7487,1,1
x_0157,68.6,0.0352,1.0000,0,1
x_0158,68.2,0.0000,0.0000,0,0
x_0159,67.9,0.3371,0.2794,0,0
x_0160,67.4,0.2239,0.1607,0,0
x_0161,68.3,0.4962,0.5663,0,0
x_0162,68.1,0.5522,0.4610,0,0
x_0163,81.7,0.0000,0.0000,0,0
x_0164,68.7,0.9059,0.8019,1,1
x_0165,67.9,0.0000,0.0000,0,0
x_0166,68.7,0.0002,0.2845,0,0
x_0167,67.9,0.2463,0.2426,0,0
x_0168,68.2,0.8927,0.8067,1,1
x_0169,67.9,0.7951,0.7250,1,1
x_0170,67.9,0.0000,0.0000,0,0
x_0171,68.5,0.2305,0.2641,0,0
x_0172,68.2,0.6358,0.6334,0,0
x_0173,87.1,0.2322,0.2682,0,0
x_0174,67.9,0.3702,0.5333,0,0
x_0175,68.1,0.5140,0.4276,0,0
x_0176,67.7,0.5142,0.4510,0,0
x_0177,67.4,0.3012,0.1819,0,0
x_0178,68.8,0.0000,0.0000,0,0
x_0179,68.4,0.9228,0.9232,1,1
x_0180,67.7,0.8733,0.8791,1,1
x_0181,67.9,0.8192,0.8215,1,1
x_0182,68.4,0.0041,0.0000,0,0
x_0183,85.7,0.8505,0.8191,1,1
x_0184,68.2,0.1062,0.0000,0,0
x_0185,67.3,0.8962,0.8817,1,1
x_0186,68.6,0.5600,0.4610,0,0
x_0187,67.7,0.2482,0.2365,0,0
x_0188,67.7,0.0000,0.0000,0,0
x_0189,68.7,0.3512,0.3353,0,0
x_0190,68.4,0.0000,0.0000,0,0
x_0191,67.5,0.9483,0.9114,1,1
x_0192,68.0,0.1155,0.1255,0,0
x_0193,82.3,0.1313,0.1057,0,0
x_0194,68.1,0.3240,0.2679,0,0
x_0195,67.6,0.7491,0.5813,1,0
x_0196,67.6,0.0000,0.0000,0,0
x_0197,68.0,0.5084,0.8379,0,1
x_0198,68.4,0.4109,0.4087,0,0
x_0199,68.0,0.9516,0.8855,1,1
x_0200,67.8,0.8939,0.9295,1,1
x_0201,68.5,0.0000,0.0000,0,0
x_0202,68.8,0.0000,0.0000,0,0
x_0203,87.4,0.6191,0.6328,0,0
x_0204,67.9,0.9860,0.9745,1,1
x_0205,69.9,0.0000,0.0000,0,0
x_0206,67.9,0.8422,0.9385,1,1
x_0207,68.4,0.2233,0.6480,0,0
x_0208,68.5,1.0000,0.9336,1,1
x_0209,67.9,0.2874,0.2637,0,0
x_0210,67.4,0.4621,0.4720,0,0
x_0211,67.8,0.6002,0.3315,0,0
x_0212,68.1,0.9726,0.9744,1,1
x_0213,80.2,0.0000,0.0000,0,0
x_0214,68.0,0.8798,0.8952,1,1
x_0215,67.5,0.9838,0.9697,1,1
x_0216,67.8,0.1476,0.1521,0,0
x_0217,68.2,0.0614,0.3670,0,0
x_0218,67.7,0.7468,0.7179,1,1
x_0219,67.6,0.0000,0.0000,0,0
x_0220,67.9,0.0727,0.7897,0,1
x_0221,68.0,0.0580,0.1254,0,0
x_0222,67.7,0.0000,0.0000,0,0
x_0223,83.7,0.8505,0.8941,1,1
x_0224,67.6,0.8454,0.6020,1,0
x_0225,67.6,0.6955,0.6564,0,0
x_0226,67.9,0.2886,0.2600,0,0
x_0227,67.5,0.0000,0.0000,0,0
x_0228,68.0,0.7161,0.7580,1,1
x_0229,67.8,0.4098,0.4147,0,0
x_0230,67.6,0.0000,0.0000,0,0
x_0231,68.1,0.8695,0.8640,1,1
x_0232,67.9,0.4334,0.2240,0,0
x_0233,81.8,0.2182,0.3114,0,0
x_0234,84.1,0.7857,0.7674,1,1
x_0235,68.0,0.0000,0.0000,0,0
x_0236,68.7,0.9871,0.9468,1,1
x_0237,68.0,0.7554,0.9468,1,1
x_0238,68.6,0.9537,0.9475,1,1
x_0239,67.7,0.4249,0.4259,0,0
x_0240,68.7,0.7565,0.9551,1,1
x_0241,67.5,0.9546,0.9690,1,1
x_0242,68.8,0.0065,0.0000,0,0
x_0243,67.6,0.0938,0.5605,0,0
x_0244,82.7,0.6355,0.7097,0,1
x_0245,67.6,0.2565,0.2797,0,0
x_0246,68.2,0.3286,0.3469,0,0
x_0247,67.5,0.9880,1.0000,1,1
x_0248,68.4,0.0009,0.0000,0,0
x_0249,68.6,0.9321,0.9739,1,1
x_0250,68.4,0.5693,0.5064,0,0
x_0251,68.2,0.3725,0.3753,0,0
x_0252,68.3,0.0000,0.0000,0,0
x_0253,67.4,0.1429,0.1439,0,0
x_0254,81.2,0.7245,0.7392,1,1
x_0255,68.2,0.0014,0.0000,0,0
x_0256,68.2,0.9407,0.8317,1,1
x_0257,67.6,0.9902,0.8429,1,1
x_0258,67.9,0.3397,0.3230,0,0
x_0259,68.2,0.4882,0.4715,0,0
x_0260,67.8,0.5444,0.5697,0,0
x_0261,68.3,0.2624,0.2551,0,0
x_0262,68.6,0.1890,0.1155,0,0
x_0263,67.8,0.8048,0.7708,1,1
x_0264,80.3,0.0000,0.0000,0,0
x_0265,68.0,0.0000,0.0000,0,0
x_0266,67.5,0.9539,0.9800,1,1
x_0267,67.5,0.7828,0.7781,1,1
x_0268,68.0,0.0881,0.1198,0,0
x_0269,68.5,0.2449,0.2877,0,0
x_0270,67.9,0.4680,0.2292,0,0
x_0271,68.1,0.0978,0.0697,0,0
x_0272,67.7,0.7711,0.6225,1,0
x_0273,68.0,0.0007,0.0000,0,0
x_0274,81.9,0.3234,0.8917,0,1
x_0275,68.3,0.3324,0.3748,0,0
x_0276,68.2,0.0000,0.0000,0,0
x_0277,68.2,0.1698,0.1971,0,0
x_0278,68.0,0.7689,0.7901,1,1
x_0279,67.9,0.0721,0.0842,0,0
x_0280,68.4,0.2652,0.2654,0,0
x_0281,68.1,0.7392,0.8056,1,1
x_0282,68.5,0.0000,0.0000,0,0
x_0283,68.4,0.0997,0.1089,0,0
x_0284,83.5,0.2474,0.2483,0,0
x_0285,67.8,0.5238,0.5005,0,0
x_0286,67.6,0.0417,0.0462,0,0
x_0287,68.1,0.1151,0.1411,0,0
x_0288,67.9,0.5165,0.5292,0,0
x_0289,67.7,0.0008,0.0000,0,0
x_0290,67.9,0.1811,0.0000,0,0
x_0291,67.8,0.0699,0.0553,0,0
x_0292,68.0,0.2594,0.2299,0,0
x_0293,67.9,0.5351,0.5208,0,0
x_0294,82.0,0.0023,0.0000,0,0
x_0295,84.6,0.1997,0.2484,0,0
x_0296,68.5,0.5050,0.5567,0,0
x_0297,68.4,0.0000,0.0000,0,0
x_0298,68.0,0.8698,0.9095,1,1
x_0299,68.0,0.3853,0.1937,0,0
x_0300,68.6,0.0000,0.0000,0,0
x_0301,69.3,0.3370,0.3436,0,0
x_0302,68.0,0.6200,0.6406,0,0
x_0303,68.4,0.1316,0.1347,0,0
x_0304,68.4,0.4403,0.6810,0,0
x_0305,81.1,0.3554,0.3463,0,0
x_0306,67.9,0.0653,0.0610,0,0
x_0307,68.1,0.7954,0.9181,1,1
x_0308,67.6,0.0000,0.0000,0,0
x_0309,68.5,0.8324,0.8451,1,1
x_0310,68.2,0.7983,0.9492,1,1
x_0311,68.3,0.0000,0.0000,0,0
x_0312,68.6,0.8113,0.8858,1,1
x_0313,67.6,0.1808,0.8597,0,1
x_0314,67.8,0.4428,0.6453,0,0
x_0315,80.1,0.0055,0.0070,0,0
x_0316,67.5,0.4225,0.6625,0,0
x_0317,67.9,0.3979,0.4509,0,0
x_0318,67.1,0.6011,0.6753,0,0
x_0319,68.0,0.2133,0.0000,0,0
x_0320,67.9,0.7145,0.7031,1,1
x_0321,68.9,0.8401,0.8186,1,1
x_0322,68.5,0.0000,0.0000,0,0
x_0323,67.6,0.0705,0.1220,0,0
x_0324,68.3,0.5426,0.4634,0,0
x_0325,84.6,0.3120,0.4662,0,0
x_0326,68.1,0.5919,0.6201,0,0
x_0327,68.3,0.0383,0.0760,0,0
x_0328,68.4,0.0000,0.0000,0,0
x_0329,68.0,0.3948,0.3793,0,0
x_0330,68.4,0.4160,0.7965,0,1
x_0331,68.3,0.1639,0.9500,0,1
x_0332,68.8,0.8298,0.7801,1,1
x_0333,68.3,0.0000,0.0000,0,0
x_0334,68.4,0.6090,0.5146,0,0
x_0335,79.9,0.2718,0.3167,0,0
x_0336,67.9,0.0000,0.0000,0,0
x_0337,68.0,0.7601,0.7941,1,1
x_0338,68.5,0.5422,0.6046,0,0
x_0339,68.1,0.1638,0.1688,0,0
x_0340,68.0,0.0270,0.0000,0,0
x_0341,67.7,0.6510,0.6785,0,0
x_0342,67.9,0.1469,0.0809,0,0
x_0343,68.4,0.2751,0.3038,0,0
x_0344,68.0,0.9003,0.9110,1,1
x_0345,88.2,0.4458,0.6731,0,0
x_0346,67.8,0.0181,0.8976,0,1
x_0347,67.9,0.5234,0.1120,0,0
x_0348,68.3,0.7330,0.8546,1,1
x_0349,68.2,0.0000,0.0000,0,0
x_0350,68.3,0.5751,0.9640,0,1
x_0351,68.1,0.1798,0.1899,0,0
x_0352,68.5,0.0914,0.0978,0,0
x_0353,68.5,0.8312,0.8967,1,1
x_0354,68.0,0.0000,0.0000,0,0
x_0355,81.7,0.0351,0.0480,0,0
x_0356,68.4,0.4501,0.5309,0,0
x_0357,68.0,0.2243,0.2107,0,0
x_0358,68.8,0.0000,0.0000,0,0
x_0359,67.8,0.6161,0.6802,0,0
x_0360,68.0,0.8250,0.8415,1,1
x_0361,68.1,0.3520,0.3709,0,0
x_0362,68.4,0.7981,0.6944,1,0
x_0363,68.0,0.1296,0.2039,0,0
x_0364,68.5,0.0000,0.0000,0,0
x_0365,81.7,0.5191,0.5160,0,0
x_0366,67.9,0.1681,0.1983,0,0
x_0367,68.5,0.0000,0.0000,0,0
x_0368,67.7,0.9353,0.9373,1,1
x_0369,68.3,0.5888,0.6481,0,0
x_0370,68.1,0.0000,0.0000,0,0
x_0371,67.9,0.7974,0.8203,1,1
x_0372,68.0,0.5248,0.5126,0,0
x_0373,68.1,0.6082,0.6152,0,0
x_0374,68.7,0.0828,0.0905,0,0
x_0375,85.0,0.1468,0.1462,0,0
x_0376,67.6,0.0000,0.0000,0,0
x_0377,68.3,0.9151,0.9305,1,1
x_0378,67.9,0.6298,0.5968,0,0
x_0379,68.6,0.5992,0.6057,0,0
x_0380,72.6,0.1191,0.1367,0,0
x_0381,68.7,0.8575,0.8185,1,1
x_0382,68.0,0.4118,0.4323,0,0
x_0383,68.1,0.6376,0.6029,0,0
x_0384,67.7,0.0028,0.0000,0,0
x_0385,84.0,0.3525,0.1920,0,0
x_0386,68.5,0.2145,0.2433,0,0
x_0387,68.2,0.0000,0.0000,0,0
x_0388,68.1,0.9019,0.9021,1,1
x_0389,68.4,0.5786,0.5433,0,0
x_0390,68.6,0.0651,0.0849,0,0
x_0391,68.2,0.5315,0.5315,0,0
x_0392,67.7,0.1957,0.2259,0,0
x_0393,67.8,0.4424,0.6879,0,0
x_0394,68.2,0.7963,0.9041,1,1
x_0395,87.4,0.0582,0.0546,0,0
x_0396,68.4,0.3277,0.3189,0,0
x_0397,68.0,0.0000,0.0000,0,0
x_0398,67.7,0.6167,0.5400,0,0
x_0399,68.0,0.1370,0.1357,0,0
x_0400,68.2,0.0000,0.0000,0,0
x_0401,68.2,0.6379,0.6191,0,0
x_0402,68.2,0.7321,0.7662,1,1
x_0403,68.4,0.5046,0.4176,0,0
x_0404,67.9,0.0318,0.0313,0,0
x_0405,81.0,0.0532,0.0562,0,0
x_0406,68.5,0.7180,0.7368,1,1
x_0407,67.8,0.2257,0.2724,0,0
x_0408,68.3,0.3530,0.0000,0,0
x_0409,68.7,0.3494,0.3111,0,0
x_0410,68.1,0.0736,0.0000,0,0
x_0411,68.1,0.2212,0.1443,0,0
x_0412,68.0,0.2786,0.2554,0,0
x_0413,68.2,0.2219,0.2152,0,0
x_0414,67.5,0.7352,0.6196,1,0
x_0415,84.2,0.7332,0.7202,1,1
x_0416,68.2,0.1037,0.1322,0,0
x_0417,68.1,0.1247,0.1260,0,0
x_0418,68.1,0.3778,0.3963,0,0
x_0419,68.3,0.0011,0.0000,0,0
x_0420,68.4,0.0000,0.0000,0,0
x_0421,68.5,0.5656,0.5638,0,0
x_0422,68.2,0.3443,0.3429,0,0
x_0423,69.2,0.5824,0.5656,0,0
x_0424,68.7,0.0409,0.0396,0,0
x_0425,79.4,0.0938,0.0949,0,0
x_0426,68.3,0.7802,0.4603,1,0
x_0427,68.4,0.0000,0.0000,0,0
x_0428,67.7,0.5304,0.5773,0,0
x_0429,68.1,0.8116,0.7103,1,1
x_0430,68.3,0.8338,0.8726,1,1
x_0431,68.5,0.5337,0.5255,0,0
x_0432,68.1,0.2471,0.3488,0,0
x_0433,68.2,0.5270,0.5140,0,0
x_0434,68.3,0.0168,0.0000,0,0
x_0435,84.9,0.0000,0.0000,0,0
x_0436,67.9,0.0592,0.0379,0,0
x_0437,68.0,0.9217,0.9035,1,1
x_0438,68.4,0.3302,0.3330,0,0
x_0439,67.7,0.5921,0.5804,0,0
x_0440,79.7,0.0002,0.0000,0,0
x_0441,67.7,0.8862,0.9135,1,1
x_0442,68.0,0.0146,0.0264,0,0
x_0443,68.3,0.5287,0.5107,0,0
x_0444,68.3,0.6551,0.6455,0,0
x_0445,80.8,0.2425,0.2520,0,0
x_0446,67.3,0.0000,0.0000,0,0
x_0447,67.4,0.0784,0.0674,0,0
x_0448,68.0,0.7620,0.8142,1,1
x_0449,67.8,0.3978,0.4616,0,0
x_0450,67.3,0.0000,0.0000,0,0
x_0451,67.9,0.7437,0.6970,1,0
x_0452,67.8,0.0987,0.1030,0,0
x_0453,67.8,0.7987,0.6544,1,0
x_0454,67.6,0.2374,0.2772,0,0
x_0455,86.3,0.7318,0.5891,1,0
x_0456,68.1,0.9037,0.8608,1,1
x_0457,68.2,0.3665,0.3046,0,0
x_0458,67.6,0.0000,0.0000,0,0
x_0459,68.0,0.0610,0.0701,0,0
x_0460,67.7,0.0000,0.0000,0,0
x_0461,67.4,0.0022,0.0027,0,0
x_0462,67.6,0.4161,0.4635,0,0
x_0463,67.9,0.8277,0.7302,1,1
x_0464,67.9,0.5053,0.6022,0,0
x_0465,81.9,0.0000,0.0000,0,0
x_0466,67.9,0.0166,0.0200,0,0
x_0467,67.7,0.1633,0.1975,0,0
x_0468,67.7,0.5911,0.4858,0,0
x_0469,68.2,0.8571,0.8806,1,1
x_0470,67.7,0.0001,0.0000,0,0
x_0471,67.7,0.4833,0.5126,0,0
x_0472,67.6,0.4008,0.4144,0,0
x_0473,67.5,0.8584,0.8664,1,1
x_0474,67.6,0.2945,0.3850,0,0
x_0475,81.4,0.5513,0.5621,0,0
x_0476,67.7,0.9019,0.9466,1,1
x_0477,68.0,0.2352,0.2053,0,0
x_0478,67.7,0.0843,0.0000,0,0
x_0479,68.0,0.8709,0.9030,1,1
x_0480,68.0,0.5935,0.5578,0,0
x_0481,67.8,0.0000,0.0000,0,0
x_0482,68.4,0.9169,0.8499,1,1
x_0483,67.5,0.7833,0.4591,1,0
x_0484,68.0,0.6362,0.4762,0,0
x_0485,88.1,0.0078,0.0000,0,0
x_0486,68.1,0.8090,0.7709,1,1
x_0487,67.7,0.5309,0.5417,0,0
x_0488,68.0,0.6118,0.6222,0,0
x_0489,67.4,0.8494,0.9390,1,1
x_0490,67.9,0.8285,0.7051,1,1
x_0491,67.6,0.2075,0.2164,0,0
x_0492,67.5,0.0000,0.0000,0,0
x_0493,68.2,0.0421,0.0000,0,0
x_0494,67.7,0.5612,0.6378,0,0
x_0495,79.8,0.0001,0.0000,0,0
x_0496,84.0,0.1950,0.2390,0,0
x_0497,68.0,0.0427,0.0478,0,0
x_0498,67.7,0.5095,0.5560,0,0
x_0499,67.5,0.5733,0.8720,0,1
x_0500,67.9,0.0000,0.0000,0,0
x_0501,67.4,0.2140,0.2684,0,0
x_0502,68.0,0.6729,0.7562,0,1
x_0503,67.6,0.4883,0.4138,0,0
x_0504,68.2,0.1070,0.1263,0,0
x_0505,68.2,0.6546,0.6405,0,0
x_0506,84.4,0.1958,0.2297,0,0
x_0507,67.7,0.0000,0.0000,0,0
x_0508,67.8,0.1231,0.8358,0,1
x_0509,67.9,0.8682,0.8767,1,1
x_0510,67.6,0.0000,0.0000,0,0
x_0511,68.2,0.1460,0.1845,0,0
x_0512,67.8,0.7741,0.8224,1,1
x_0513,67.8,0.5567,0.5808,0,0
x_0514,67.3,0.7731,0.6869,1,0
x_0515,67.9,0.7867,0.9000,1,1
x_0516,81.1,0.5193,0.5899,0,0
x_0517,68.1,0.0000,0.0000,0,0
x_0518,67.4,0.8516,0.9224,1,1
x_0519,67.9,0.1816,0.1932,0,0
x_0520,67.7,0.0044,0.0000,0,0
x_0521,67.3,0.0152,0.0104,0,0
x_0522,68.4,0.4931,0.5295,0,0
x_0523,67.7,0.2675,0.3059,0,0
x_0524,67.5,0.8123,0.5275,1,0
x_0525,67.3,0.1557,0.1746,0,0
x_0526,82.3,0.0000,0.0000,0,0
x_0527,68.2,0.8802,0.9192,1,1
x_0528,67.2,0.4318,0.5581,0,0
x_0529,68.1,0.6618,0.6829,0,0
x_0530,68.2,0.3861,0.4437,0,0
x_0531,67.9,0.2946,0.3587,0,0
x_0532,67.7,0.0000,0.0000,0,0
x_0533,67.4,0.6668,0.5675,0,0
x_0534,67.3,0.8932,0.9468,1,1
x_0535,67.3,0.7429,0.7358,1,1
x_0536,80.8,0.1996,0.2080,0,0
x_0537,81.7,0.0000,0.0000,0,0
x_0538,67.4,0.6136,0.6422,0,0
x_0539,67.7,0.9058,0.9196,1,1
x_0540,67.9,0.1831,0.1621,0,0
x_0541,67.7,0.8789,0.8410,1,1
x_0542,67.7,0.3629,0.3717,0,0
x_0543,68.5,0.2585,0.1816,0,0
x_0544,67.7,0.0952,0.0000,0,0
x_0545,68.3,0.8856,0.8434,1,1
x_0546,67.6,0.0000,0.0000,0,0
x_0547,86.0,0.8753,0.9332,1,1
x_0548,67.5,0.8857,0.9035,1,1
x_0549,68.0,0.0435,0.0509,0,0
x_0550,73.0,0.6411,0.3195,0,0
x_0551,68.1,0.5530,0.5725,0,0
x_0552,67.9,0.0000,0.0000,0,0
x_0553,67.5,0.8056,0.8304,1,1
x_0554,68.1,0.0465,0.0466,0,0
x_0555,69.0,0.0000,0.0000,0,0
x_0556,68.0,0.8485,0.8761,1,1
x_0557,81.0,0.0665,0.0705,0,0
x_0558,68.3,0.6811,0.7088,0,1
x_0559,67.6,0.2093,0.2511,0,0
x_0560,68.2,0.8898,0.8779,1,1
x_0561,67.6,0.3945,0.4326,0,0
x_0562,67.6,0.0265,0.0415,0,0
x_0563,67.8,0.3467,0.4210,0,0
x_0564,68.5,0.0000,0.0000,0,0
x_0565,68.3,0.1888,0.2241,0,0
x_0566,67.8,0.0000,0.0000,0,0
x_0567,84.9,0.1383,0.1698,0,0
x_0568,68.3,0.8324,0.8007,1,1
x_0569,71.3,0.9776,0.9650,1,1
x_0570,67.9,0.0000,0.0000,0,0
x_0571,67.6,0.0630,0.0802,0,0
x_0572,68.2,0.9535,0.9241,1,1
x_0573,67.8,0.3651,0.3928,0,0
x_0574,67.7,0.6772,0.6618,0,0
x_0575,68.1,0.5833,0.6491,0,0
x_0576,67.8,0.7628,0.9137,1,1
x_0577,81.6,0.0211,0.0284,0,0
x_0578,68.0,0.0000,0.0000,0,0
x_0579,67.5,0.0992,0.1152,0,0
x_0580,68.3,0.2497,0.2678,0,0
x_0581,67.8,0.2478,0.2238,0,0
x_0582,68.2,0.7007,0.8839,1,1
x_0583,68.6,0.9469,0.9695,1,1
x_0584,67.6,0.0000,0.0000,0,0
x_0585,68.1,0.0644,0.0584,0,0
x_0586,68.0,0.6781,0.7045,0,1
x_0587,84.4,0.2628,0.2947,0,0
x_0588,67.9,0.9690,0.9621,1,1
x_0589,68.3,0.0004,0.0000,0,0
x_0590,68.1,0.6621,0.6594,0,0
x_0591,68.2,0.7124,0.7256,1,1
x_0592,67.3,0.9903,0.9653,1,1
x_0593,67.3,0.0554,0.0545,0,0
x_0594,67.5,0.0000,0.0000,0,0
x_0595,67.9,0.3239,0.1148,0,0
x_0596,67.6,0.9660,0.9499,1,1
x_0597,80.7,0.2647,0.4108,0,0
x_0598,68.0,0.4695,0.4842,0,0
x_0599,68.3,0.0000,0.0000,0,0
x_0600,69.1,0.0000,0.0000,0,0
x_0601,67.9,0.8802,0.8886,1,1
x_0602,67.2,0.4523,0.5242,0,0
x_0603,67.9,0.7184,0.6447,1,0
x_0604,68.3,0.5408,0.5025,0,0
